Time,Frame,Person_ID,Event,Type
11.96,299,44,EXIT,initial
12.00,300,86,EXIT,initial
12.00,300,23,ENTRY,initial
12.04,301,4,EXIT,initial
12.08,302,81,EXIT,initial
12.16,304,89,ENTRY,initial
12.20,305,4,EXIT,initial
12.20,305,80,EXIT,initial
12.28,307,23,ENTRY,initial
12.32,308,90,EXIT,initial
12.32,308,4,EXIT,initial
12.36,309,91,EXIT,initial
12.36,309,73,ENTRY,initial
12.36,309,44,EXIT,initial
12.40,310,90,EXIT,initial
12.56,314,44,EXIT,initial
12.60,315,89,ENTRY,initial
12.64,316,91,EXIT,initial
12.68,317,69,EXIT,initial
12.76,319,67,EXIT,crossed
12.76,319,94,EXIT,initial
12.76,319,90,EXIT,initial
12.76,319,80,EXIT,initial
12.96,324,94,EXIT,initial
13.00,325,96,ENTRY,initial
13.04,326,81,EXIT,initial
13.04,326,44,EXIT,initial
13.08,327,99,EXIT,initial
13.08,327,90,EXIT,initial
13.12,328,98,ENTRY,initial
13.20,330,100,EXIT,initial
13.20,330,23,ENTRY,initial
13.20,330,36,EXIT,initial
13.32,333,100,EXIT,initial
13.36,334,99,EXIT,initial
13.36,334,89,ENTRY,initial
13.40,335,96,ENTRY,initial
13.56,339,89,ENTRY,initial
